DATE,TIME,OBS_NO,WEIGHT,STATUS,Visit
2000/00/00,00:00:00,15949,11544.5986,s,0
2000/01/17,17:59:38,12,1711.2057,s,1
2000/01/17,18:02:16,1,418.5089,s,2
2000/01/17,18:02:26,7,893.6929,s,3
2000/01/17,18:02:55,1,1008.7467,s,4
2000/01/17,18:03:38,1,183.8199,s,5
2000/01/17,18:03:58,3,812.416,s,6
2000/01/17,18:04:58,4,1362.0245,s,7
2000/01/17,18:05:09,6,1966.3293,s,8
2000/01/17,18:05:21,8,1727.3568,s,9
2000/01/17,18:05:31,5,3394.5625,s,10
2000/01/17,18:05:51,3,2307.0725,s,11
2000/01/17,18:05:57,14,2962.0906,s,12
2000/01/17,18:22:15,11,2935.406,s,13
2000/01/17,18:22:34,29,10802.4092,s,14
2000/01/17,18:22:43,24,1872.074,s,15
2000/01/17,18:22:56,18,4225.9736,s,16
2000/01/17,18:23:08,2,297.5311,s,17
2000/01/17,18:23:20,36,2842.9497,s,18
2000/01/17,18:46:43,7,3084.5066,s,19
2000/01/17,18:46:52,1,152.2549,s,20
2000/01/17,18:47:04,1,95.0039,s,21
2000/01/17,18:47:12,10,3635.3792,s,22
2000/01/17,18:47:30,2,1288.541,s,23
2000/01/17,18:47:37,14,1499.8304,s,24
2000/01/17,18:49:11,13,1513.1686,s,25
2000/01/17,18:49:17,6,792.9181,s,26
2000/01/17,18:50:05,29,1295.4257,s,27
2000/01/17,18:50:17,5,1732.6698,s,28
2000/01/17,18:50:19,13,1137.9196,s,29
2000/01/17,18:50:22,6,1969.7534,s,30
2000/01/17,18:52:56,1,244.7687,s,31
2000/01/17,18:53:03,3,2435.1948,s,32
2000/01/17,18:53:08,6,2554.0813,s,33
2000/01/17,18:53:18,3,719.5229,s,34
2000/01/17,18:54:46,1,59.9363,s,35
2000/01/17,18:56:18,2,265.4984,s,36
2000/01/17,18:57:08,14,1407.606,s,37
2000/01/17,18:57:27,1,471.597,s,38
2000/01/17,18:58:03,1,431.9874,s,39
2000/01/17,18:58:03,1,431.9874,s,40
2000/01/17,18:58:10,1,275.7158,s,41
2000/01/17,18:58:18,3,1638.4777,s,42
2000/01/17,18:58:24,1,35.0045,s,43
2000/01/17,18:58:41,12,4081.1582,s,44
2000/01/17,18:58:45,12,1845.4288,s,45
2000/01/17,18:58:58,2,1248.5381,s,46
2000/01/17,18:59:00,10,1248.5381,s,47
2000/01/17,18:59:02,2,1693.511,s,48
2000/01/17,18:59:32,3,2070.4285,s,49
2000/01/17,18:59:33,1,981.4752,s,50
2000/01/17,18:59:35,1,164.6197,s,51
2000/01/17,19:08:29,1,490.3015,s,52
2000/01/17,19:10:06,1,286.9036,s,53
2000/01/17,19:10:23,34,7928.7241,s,54
2000/01/17,19:23:12,5,306.0518,s,55
2000/01/17,19:23:22,1,383.8429,s,56
2000/01/17,19:24:18,4,1100.9263,s,57
2000/01/17,19:24:25,15,1796.4374,s,58
2000/01/17,19:24:41,1,713.2648,s,59
2000/01/17,19:25:03,21,1763.4188,s,60
2000/01/17,19:25:13,12,2417.8413,s,61
2000/01/17,19:25:31,1,1386.8777,s,62
2000/01/17,19:25:51,1,287.8895,s,63
2000/01/17,19:26:07,10,371.1003,s,64
2000/01/17,19:26:44,3,255.3133,s,65
2000/01/17,19:27:21,32,1311.925,s,66
2000/01/17,19:27:26,17,2895.323,s,67
2000/01/17,19:27:34,14,5319.7104,s,68
2000/01/17,19:27:36,28,689.0142,s,69
2000/01/17,19:27:43,25,7825.1768,s,70
2000/01/17,19:27:49,19,3329.5828,s,71
2000/01/17,19:27:59,1,172.3174,s,72
2000/01/17,19:28:12,8,2141.582,s,73
2000/01/17,19:28:41,88,2540.0454,s,74
2000/01/17,19:28:53,18,5120.4263,s,75
2000/01/17,19:29:09,31,3984.4578,s,76
2000/01/17,19:29:20,66,6281.1357,s,77
2000/01/17,19:29:29,31,5453.3032,s,78
2000/01/17,19:29:35,17,4998.915,s,79
2000/01/17,19:29:53,54,5911.2197,s,80
2000/01/17,19:30:30,45,8266.6006,s,81
2000/01/17,19:30:34,5,1233.4375,s,82
2000/01/17,19:31:09,13,3111.073,s,83
2000/01/17,19:31:24,28,4357.9175,s,84
2000/01/17,19:31:52,8,328.8039,s,85
2000/01/17,19:56:12,9,3402.0312,s,86
2000/01/17,19:59:39,5,500.0554,s,87
2000/01/17,20:00:10,29,5050.9863,s,88
2000/01/17,20:00:58,11,2786.2761,s,89
2000/01/17,20:08:11,34,1891.8262,s,90
2000/01/17,20:09:58,35,1715.1128,s,91
2000/01/17,20:10:19,22,7554.9233,s,92
2000/01/17,20:43:39,3,2534.5005,s,93
2000/01/17,20:52:53,1,936.0426,s,94
2000/01/17,20:52:56,2,1097.7817,s,95
2000/01/17,20:53:21,46,3648.7959,s,96
